InstrumentName, Melody-Catalpa B
StartTime, 2019-12-01 00:00:00
EndTime, 2019-12-31 23:59:59
Date,PM2.5
12/01/2019 00:00:00.769000,0.0
12/01/2019 00:02:00.708000,0.0
12/01/2019 00:04:00.759000,0.0
12/01/2019 00:06:00.724000,0.0
12/01/2019 00:08:00.955000,0.0
12/01/2019 00:10:00.872000,0.07
12/01/2019 00:12:00.723000,0.01
12/01/2019 00:14:00.709000,0.17
12/01/2019 00:16:00.406000,0.13
12/01/2019 00:18:00.703000,0.0
12/01/2019 00:20:00.383000,0.0
12/01/2019 00:22:00.838000,0.0
12/01/2019 00:24:00.788000,0.0
12/01/2019 00:26:00.715000,0.0
12/01/2019 00:28:00.711000,0.0
12/01/2019 00:30:00.692000,0.0
12/01/2019 00:32:00.815000,0.0
12/01/2019 00:34:01.068000,0.0
12/01/2019 00:36:00.449000,0.03
12/01/2019 00:38:00.379000,0.0
12/01/2019 00:40:00.712000,0.0
12/01/2019 00:42:00.702000,0.0
12/01/2019 00:44:00.636000,0.0
12/01/2019 00:46:00.377000,0.0
12/01/2019 00:48:00.737000,0.11
12/01/2019 00:50:00.421000,0.36
12/01/2019 00:52:00.383000,0.0
12/01/2019 00:54:00.650000,0.0
12/01/2019 00:56:00.450000,0.0
12/01/2019 00:58:00.719000,0.16
12/01/2019 01:00:00.833000,0.22
12/01/2019 01:02:00.607000,0.0
12/01/2019 01:04:00.411000,0.0
12/01/2019 01:06:00.706000,0.0
12/01/2019 01:08:00.785000,0.0
12/01/2019 01:10:00.823000,0.0
12/01/2019 01:12:00.702000,0.0
12/01/2019 01:14:00.709000,0.0
12/01/2019 01:16:00.753000,0.0
12/01/2019 01:18:00.796000,0.0
12/01/2019 01:20:00.408000,0.0
12/01/2019 01:22:00.422000,0.0
12/01/2019 01:24:00.381000,0.0
12/01/2019 01:26:00.693000,0.36
12/01/2019 01:28:00.646000,0.49
12/01/2019 01:30:00.672000,0.11
12/01/2019 01:32:00.837000,0.0
12/01/2019 01:34:00.964000,0.12
12/01/2019 01:36:00.807000,0.0
12/01/2019 01:38:00.791000,0.66
12/01/2019 01:40:00.520000,0.83
12/01/2019 01:42:01.681000,0.0
12/01/2019 01:44:00.627000,0.0
12/01/2019 01:46:00.811000,0.0
12/01/2019 01:48:00.702000,0.13
12/01/2019 01:50:00.719000,0.0
12/01/2019 01:52:00.792000,0.0
12/01/2019 01:54:00.701000,0.0
12/01/2019 01:56:00.771000,0.0
12/01/2019 01:58:00.371000,0.0
12/01/2019 02:00:00.717000,0.34
12/01/2019 02:02:00.366000,0.16
12/01/2019 02:04:00.604000,1.93
12/01/2019 02:06:00.617000,1.91
12/01/2019 02:08:00.781000,2.21
12/01/2019 02:10:01.154000,2.72
12/01/2019 02:12:00.795000,3.31
12/01/2019 02:14:00.892000,4.59
12/01/2019 02:16:00.383000,6.59
12/01/2019 02:18:00.398000,7.1
12/01/2019 02:20:00.826000,4.23
12/01/2019 02:22:00.823000,4.23
12/01/2019 02:24:00.857000,3.82
12/01/2019 02:26:00.610000,4.07
12/01/2019 02:28:00.615000,5.47
12/01/2019 02:30:00.453000,4.63
12/01/2019 02:32:00.784000,4.36
12/01/2019 02:34:01.280000,4.39
12/01/2019 02:36:00.780000,4.77
12/01/2019 02:38:00.364000,3.99
12/01/2019 02:40:00.389000,2.97
12/01/2019 02:42:00.404000,4.19
12/01/2019 02:44:00.767000,3.15
12/01/2019 02:46:00.769000,5.01
12/01/2019 02:48:00.772000,3.41
12/01/2019 02:50:00.366000,3.64
12/01/2019 02:52:00.626000,3.32
12/01/2019 02:54:00.588000,3.25
12/01/2019 02:56:00.596000,4.68
12/01/2019 02:58:00.600000,3.7
12/01/2019 03:00:00.389000,3.81
12/01/2019 03:02:00.715000,4.58
12/01/2019 03:04:00.716000,4.81
12/01/2019 03:06:00.644000,4.32
12/01/2019 03:08:00.596000,4.57
12/01/2019 03:10:00.710000,5.21
12/01/2019 03:12:00.740000,5.36
12/01/2019 03:14:00.791000,5.24
12/01/2019 03:16:00.589000,5.13
12/01/2019 03:18:00.884000,5.03
12/01/2019 03:20:01.029000,5.93
12/01/2019 03:22:00.729000,5.8
12/01/2019 03:24:00.780000,5.15
12/01/2019 03:26:00.593000,5.44
12/01/2019 03:28:00.703000,5.59
12/01/2019 03:30:00.387000,5.08
12/01/2019 03:32:00.777000,6.25
12/01/2019 03:34:01.123000,6.58
12/01/2019 03:36:00.685000,6.67
12/01/2019 03:38:00.629000,5.9
12/01/2019 03:40:00.717000,7.13
12/01/2019 03:42:00.379000,6.52
12/01/2019 03:44:00.570000,6.84
12/01/2019 03:46:00.782000,7.36
12/01/2019 03:48:00.688000,7.26
12/01/2019 03:50:00.396000,7.89
12/01/2019 03:52:00.399000,8.18
12/01/2019 03:54:00.357000,8.49
12/01/2019 03:56:00.790000,7.75
12/01/2019 03:58:00.765000,7.28
12/01/2019 04:00:00.805000,7.34
12/01/2019 04:02:00.387000,8.21
12/01/2019 04:04:00.816000,7.37
12/01/2019 04:06:00.776000,6.48
12/01/2019 04:08:00.360000,5.07
12/01/2019 04:12:00.741000,7.68
12/01/2019 04:14:00.564000,8.87
12/01/2019 04:16:00.356000,7.45
12/01/2019 04:18:00.725000,6.79
12/01/2019 04:20:00.662000,6.58
12/01/2019 04:22:00.701000,7.21
12/01/2019 04:24:00.757000,7.81
12/01/2019 04:26:00.370000,5.15
12/01/2019 04:28:00.563000,3.65
12/01/2019 04:30:00.784000,4.1
12/01/2019 04:32:00.665000,4.13
12/01/2019 04:34:00.967000,4.52
12/01/2019 04:36:00.356000,4.46
12/01/2019 04:38:00.338000,4.83
12/01/2019 04:40:00.374000,5.21
12/01/2019 04:42:00.595000,5.07
12/01/2019 04:44:00.729000,4.56
12/01/2019 04:46:00.334000,4.48
12/01/2019 04:48:00.679000,3.65
12/01/2019 04:50:00.343000,4.48
12/01/2019 04:52:00.700000,4.06
12/01/2019 04:54:00.369000,5.12
12/01/2019 04:56:00.752000,5.0
12/01/2019 04:58:00.401000,4.57
12/01/2019 05:00:00.675000,4.65
12/01/2019 05:02:00.805000,4.28
12/01/2019 05:04:00.573000,4.47
12/01/2019 05:06:00.697000,4.21
12/01/2019 05:08:00.678000,4.71
12/01/2019 05:12:00.582000,4.65
12/01/2019 05:14:00.339000,4.26
12/01/2019 05:16:00.747000,3.62
12/01/2019 05:18:00.566000,4.58
12/01/2019 05:20:00.359000,3.85
12/01/2019 05:22:00.673000,3.56
12/01/2019 05:24:00.606000,2.91
12/01/2019 05:26:00.832000,3.45
12/01/2019 05:28:00.662000,3.73
12/01/2019 05:30:00.717000,4.34
12/01/2019 05:32:00.690000,5.72
12/01/2019 05:34:00.968000,7.04
12/01/2019 05:36:00.770000,7.33
12/01/2019 05:38:00.751000,6.07
12/01/2019 05:40:00.723000,6.0
12/01/2019 05:42:00.673000,6.69
12/01/2019 05:44:00.692000,7.24
12/01/2019 05:46:00.328000,7.63
12/01/2019 05:48:00.664000,8.01
12/01/2019 05:50:00.600000,7.69
12/01/2019 05:52:00.729000,5.23
12/01/2019 05:54:00.865000,6.62
12/01/2019 05:56:00.769000,6.11
12/01/2019 05:58:00.769000,8.09
12/01/2019 06:00:00.563000,8.51
12/01/2019 06:02:00.557000,8.42
12/01/2019 06:04:00.582000,8.32
12/01/2019 06:06:00.728000,7.66
12/01/2019 06:08:00.766000,7.09
12/01/2019 06:10:00.373000,8.61
12/01/2019 06:12:00.363000,8.48
12/01/2019 06:14:00.612000,7.68
12/01/2019 06:16:00.656000,8.05
12/01/2019 06:18:00.658000,7.3
12/01/2019 06:20:00.340000,6.83
12/01/2019 06:22:00.757000,7.13
12/01/2019 06:24:00.336000,6.26
12/01/2019 06:26:00.693000,7.56
12/01/2019 06:28:00.656000,8.27
12/01/2019 06:30:00.687000,8.39
12/01/2019 06:32:00.720000,8.42
12/01/2019 06:34:00.913000,8.51
12/01/2019 06:36:00.376000,9.31
12/01/2019 06:38:00.591000,7.79
12/01/2019 06:40:00.730000,8.1
12/01/2019 06:42:00.595000,7.59
12/01/2019 06:44:00.544000,8.53
12/01/2019 06:46:00.728000,8.41
12/01/2019 06:48:00.711000,8.3
12/01/2019 06:50:00.595000,8.32
12/01/2019 06:52:00.334000,7.58
12/01/2019 06:54:00.650000,8.01
12/01/2019 06:56:00.538000,10.94
12/01/2019 06:58:00.344000,9.36
12/01/2019 07:00:00.791000,7.82
12/01/2019 07:02:00.687000,8.04
12/01/2019 07:04:00.592000,8.46
12/01/2019 07:06:00.647000,7.49
12/01/2019 07:08:00.704000,7.9
12/01/2019 07:10:00.711000,8.66
12/01/2019 07:12:00.587000,8.47
12/01/2019 07:14:00.334000,9.25
12/01/2019 07:16:00.322000,9.43
12/01/2019 07:18:00.646000,9.49
12/01/2019 07:20:00.404000,8.46
12/01/2019 07:22:00.666000,10.35
12/01/2019 07:24:00.651000,10.87
12/01/2019 07:26:00.634000,10.21
12/01/2019 07:28:00.757000,9.79
12/01/2019 07:30:00.793000,10.0
12/01/2019 07:32:00.720000,10.28
12/01/2019 07:34:00.860000,10.58
12/01/2019 07:36:00.715000,9.63
12/01/2019 07:38:00.750000,7.53
12/01/2019 07:40:00.767000,7.34
12/01/2019 07:42:00.683000,7.54
12/01/2019 07:44:00.659000,6.07
12/01/2019 07:46:00.741000,6.69
12/01/2019 07:48:00.313000,7.41
12/01/2019 07:50:00.539000,6.78
12/01/2019 07:52:00.336000,6.4
12/01/2019 07:54:00.522000,6.71
12/01/2019 07:56:00.666000,7.9
12/01/2019 07:58:00.744000,7.28
12/01/2019 08:00:00.562000,6.23
12/01/2019 08:02:00.532000,6.68
12/01/2019 08:04:01.153000,6.43
12/01/2019 08:06:00.590000,6.48
12/01/2019 08:08:00.665000,7.2
12/01/2019 08:10:00.402000,7.61
12/01/2019 08:12:00.319000,6.77
12/01/2019 08:14:00.714000,7.15
12/01/2019 08:16:00.638000,7.36
12/01/2019 08:18:00.767000,6.81
12/01/2019 08:20:00.763000,7.25
12/01/2019 08:22:00.317000,6.85
12/01/2019 08:24:00.315000,7.07
12/01/2019 08:26:00.525000,7.1
12/01/2019 08:28:00.641000,7.1
12/01/2019 08:30:00.581000,6.2
12/01/2019 08:32:00.755000,7.16
12/01/2019 08:34:00.886000,6.65
12/01/2019 08:36:00.526000,6.18
12/01/2019 08:38:00.709000,5.9
12/01/2019 08:40:00.730000,7.37
12/01/2019 08:42:00.892000,7.26
12/01/2019 08:44:00.765000,6.84
12/01/2019 08:46:00.723000,6.38
12/01/2019 08:48:00.644000,7.62
12/01/2019 08:50:00.793000,5.83
12/01/2019 08:52:00.314000,5.06
12/01/2019 08:54:00.526000,6.69
12/01/2019 08:56:00.631000,5.44
12/01/2019 08:58:00.531000,5.59
12/01/2019 09:00:00.512000,5.14
12/01/2019 09:02:00.677000,5.74
12/01/2019 09:04:00.658000,4.32
12/01/2019 09:06:00.699000,4.54
12/01/2019 09:34:01.344000,3.74
12/01/2019 09:36:00.980000,3.43
12/01/2019 09:38:01.323000,3.42
12/01/2019 09:40:00.991000,3.9
12/01/2019 09:42:01.484000,3.28
12/01/2019 09:44:01.371000,3.99
12/01/2019 09:46:01.304000,4.34
12/01/2019 09:48:01.442000,3.59
12/01/2019 09:50:01.462000,3.56
12/01/2019 09:52:01.091000,3.72
12/01/2019 09:54:01.377000,3.38
12/01/2019 09:56:00.999000,2.8
12/01/2019 09:58:01.302000,1.54
12/01/2019 10:00:01.397000,3.1
12/01/2019 10:02:01.232000,3.24
12/01/2019 10:04:01.367000,3.06
12/01/2019 10:06:01.000000,2.48
12/01/2019 10:08:00.982000,2.74
12/01/2019 10:10:01.544000,2.84
12/01/2019 10:12:01.483000,3.64
12/01/2019 10:14:00.986000,3.17
12/01/2019 10:16:01.419000,3.06
12/01/2019 10:18:01.208000,2.29
12/01/2019 10:20:01.386000,2.99
12/01/2019 10:22:01.218000,3.03
12/01/2019 10:24:01.419000,2.87
12/01/2019 10:26:01.384000,2.94
12/01/2019 10:28:01.538000,2.7
12/01/2019 10:30:01.358000,2.54
12/01/2019 10:32:01.330000,2.55
12/01/2019 10:34:01.479000,2.79
12/01/2019 10:36:01.364000,2.98
12/01/2019 10:38:01.311000,3.21
12/01/2019 10:40:01.197000,3.07
12/01/2019 10:42:01.400000,3.07
12/01/2019 10:44:00.993000,2.9
12/01/2019 10:46:01.377000,3.68
12/01/2019 10:48:00.993000,2.92
12/01/2019 10:50:00.981000,3.31
12/01/2019 10:52:00.985000,3.31
12/01/2019 10:54:01.496000,2.37
12/01/2019 10:56:01.214000,3.33
12/01/2019 10:58:01.322000,4.51
12/01/2019 11:00:01.476000,2.75
12/01/2019 11:02:01.396000,3.42
12/01/2019 11:04:01.396000,2.7
12/01/2019 11:06:01.208000,2.93
12/01/2019 11:08:01.197000,3.06
12/01/2019 11:10:01.484000,2.97
12/01/2019 11:12:01.930000,2.43
12/01/2019 11:14:01.419000,3.03
12/01/2019 11:16:01.212000,2.51
12/01/2019 11:18:01.214000,3.09
12/01/2019 11:20:00.963000,2.61
12/01/2019 11:22:01.382000,2.29
12/01/2019 11:24:00.996000,2.36
12/01/2019 11:26:01.480000,2.56
12/01/2019 11:28:01.371000,2.47
12/01/2019 11:30:00.993000,2.58
12/01/2019 11:32:01.436000,2.61
12/01/2019 11:34:01.695000,2.0
12/01/2019 11:36:00.996000,2.48
12/01/2019 11:38:00.942000,1.46
12/01/2019 11:40:01.199000,1.34
12/01/2019 11:42:01.227000,1.29
12/01/2019 11:44:00.973000,1.06
12/01/2019 11:46:00.966000,1.31
12/01/2019 11:48:01.341000,1.09
12/01/2019 11:50:01.272000,1.87
12/01/2019 11:52:01.348000,0.85
12/01/2019 11:54:01.352000,1.0
12/01/2019 11:56:01.360000,1.0
12/01/2019 11:58:01.000000,1.26
12/01/2019 12:00:01.292000,1.29
12/01/2019 12:02:01.392000,1.81
12/01/2019 12:04:01.418000,1.26
12/01/2019 12:06:01.177000,1.54
12/01/2019 12:08:01.336000,1.23
12/01/2019 12:10:01.305000,1.56
12/01/2019 12:12:01.293000,1.24
12/01/2019 12:14:01.282000,1.13
12/01/2019 12:16:00.970000,1.14
12/01/2019 12:18:01.251000,1.74
12/01/2019 12:20:01.410000,1.51
12/01/2019 12:22:01.314000,1.0
12/01/2019 12:24:01.293000,0.83
12/01/2019 12:26:01.213000,0.85
12/01/2019 12:28:01.302000,1.06
12/01/2019 12:30:01.319000,1.36
12/01/2019 12:32:00.965000,1.25
12/01/2019 12:34:01.622000,0.96
12/01/2019 12:36:01.189000,0.71
12/01/2019 12:38:01.413000,1.13
12/01/2019 12:40:00.974000,0.55
12/01/2019 12:42:01.204000,0.82
12/01/2019 12:44:01.198000,0.77
12/01/2019 12:46:01.394000,0.46
12/01/2019 12:48:01.285000,0.57
12/01/2019 12:50:00.975000,0.7
12/01/2019 12:52:00.950000,1.21
12/01/2019 12:54:01.378000,1.14
12/01/2019 12:56:01.429000,0.56
12/01/2019 12:58:00.944000,1.46
12/01/2019 13:00:01.268000,0.72
12/01/2019 13:02:00.945000,1.18
12/01/2019 13:04:01.200000,1.17
12/01/2019 13:06:01.285000,0.66
12/01/2019 13:08:01.379000,0.54
12/01/2019 13:10:01.322000,0.72
12/01/2019 13:12:01.273000,0.86
12/01/2019 13:14:01.275000,0.48
12/01/2019 13:16:01.348000,0.37
12/01/2019 13:18:01.207000,0.69
12/01/2019 13:20:00.942000,1.24
12/01/2019 13:22:01.367000,0.79
12/01/2019 13:24:01.183000,0.84
12/01/2019 13:26:00.940000,0.84
12/01/2019 13:28:01.339000,0.58
12/01/2019 13:30:01.173000,0.66
12/01/2019 13:32:01.250000,0.71
12/01/2019 13:36:01.262000,0.78
12/01/2019 13:38:01.373000,0.36
12/01/2019 13:40:01.350000,0.43
12/01/2019 13:42:01.352000,0.65
12/01/2019 13:46:01.202000,1.4
12/01/2019 13:48:01.148000,2.38
12/01/2019 13:50:01.197000,1.43
12/01/2019 13:52:01.261000,0.9
12/01/2019 13:56:00.961000,2.1
12/01/2019 13:58:00.942000,2.71
12/01/2019 14:00:01.264000,3.37
12/01/2019 14:02:01.334000,1.09
12/01/2019 14:06:01.339000,2.3
12/01/2019 14:08:01.269000,3.12
12/01/2019 14:10:01.384000,4.32
12/01/2019 14:12:01.211000,3.21
12/01/2019 14:16:00.926000,3.77
12/01/2019 14:18:00.937000,3.15
12/01/2019 14:20:01.430000,3.83
12/01/2019 14:22:00.957000,3.3
12/01/2019 14:26:01.378000,3.93
12/01/2019 14:28:01.461000,3.32
12/01/2019 14:30:01.457000,2.73
12/01/2019 14:32:01.358000,3.72
12/01/2019 14:36:01.285000,2.97
12/01/2019 14:38:01.258000,3.79
12/01/2019 14:40:00.927000,3.61
12/01/2019 14:42:00.948000,3.85
12/01/2019 14:46:00.921000,4.36
12/01/2019 14:48:01.181000,4.59
12/01/2019 14:50:00.913000,4.49
12/01/2019 14:52:01.252000,4.52
12/01/2019 14:54:01.177000,4.44
12/01/2019 14:56:00.953000,4.96
12/01/2019 14:58:00.961000,5.12
12/01/2019 15:00:01.362000,3.78
12/01/2019 15:02:01.176000,5.59
12/01/2019 15:04:00.918000,5.67
12/01/2019 15:06:00.950000,6.93
12/01/2019 15:08:00.931000,6.37
12/01/2019 15:10:01.257000,8.74
12/01/2019 15:12:00.932000,8.93
12/01/2019 15:14:01.154000,7.53
12/01/2019 15:16:01.353000,8.78
12/01/2019 15:18:00.935000,7.72
12/01/2019 15:20:00.933000,8.85
12/01/2019 15:22:01.164000,8.01
12/01/2019 15:24:01.361000,7.9
12/01/2019 15:26:01.152000,8.61
12/01/2019 15:28:01.202000,8.43
12/01/2019 15:30:01.403000,7.97
12/01/2019 15:32:01.399000,5.9
12/01/2019 15:34:01.697000,8.45
12/01/2019 15:36:01.328000,9.3
12/01/2019 15:38:01.282000,8.43
12/01/2019 15:40:00.911000,7.83
12/01/2019 15:42:00.926000,7.53
12/01/2019 15:44:01.223000,7.39
12/01/2019 15:46:00.962000,6.84
12/01/2019 15:48:01.306000,6.71
12/01/2019 15:50:01.346000,6.86
12/01/2019 15:52:01.281000,6.7
12/01/2019 15:54:01.244000,6.8
12/01/2019 15:56:01.155000,5.96
12/01/2019 15:58:01.360000,6.07
12/01/2019 16:00:01.248000,6.12
12/01/2019 16:02:00.951000,8.47
12/01/2019 16:04:01.289000,8.36
12/01/2019 16:06:01.302000,8.86
12/01/2019 16:08:01.329000,8.28
12/01/2019 16:10:01.468000,8.88
12/01/2019 16:12:01.224000,8.35
12/01/2019 16:14:01.148000,9.54
12/01/2019 16:16:01.163000,8.2
12/01/2019 16:18:01.193000,7.79
12/01/2019 16:20:01.201000,7.36
12/01/2019 16:22:01.178000,8.13
12/01/2019 16:24:01.252000,7.24
12/01/2019 16:26:01.394000,8.32
12/01/2019 16:28:01.318000,8.36
12/01/2019 16:30:01.321000,7.49
12/01/2019 16:32:01.249000,10.62
12/01/2019 16:34:01.644000,9.92
12/01/2019 16:36:01.311000,8.01
12/01/2019 16:38:00.918000,7.34
12/01/2019 16:40:00.990000,8.35
12/01/2019 16:42:01.369000,8.36
12/01/2019 16:44:01.379000,7.52
12/01/2019 16:46:01.133000,6.94
12/01/2019 16:48:00.908000,6.49
12/01/2019 16:50:00.944000,8.73
12/01/2019 16:52:01.286000,6.16
12/01/2019 16:54:00.961000,7.04
12/01/2019 16:56:01.144000,6.84
12/01/2019 16:58:00.945000,6.93
12/01/2019 17:00:01.260000,6.7
12/01/2019 17:02:01.354000,7.01
12/01/2019 17:04:00.921000,7.62
12/01/2019 17:06:00.902000,6.74
12/01/2019 17:08:00.919000,5.76
12/01/2019 17:10:01.111000,5.21
12/01/2019 17:12:00.933000,6.68
12/01/2019 17:14:01.135000,5.82
12/01/2019 17:18:01.151000,5.62
12/01/2019 17:20:00.940000,5.61
12/01/2019 17:22:00.915000,5.89
12/01/2019 17:24:00.958000,5.74
12/01/2019 17:28:01.154000,5.4
12/01/2019 17:30:01.310000,5.47
12/01/2019 17:32:01.333000,5.97
12/01/2019 17:34:01.977000,5.19
12/01/2019 17:38:01.264000,5.13
12/01/2019 17:40:01.565000,4.75
12/01/2019 17:42:01.135000,5.12
12/01/2019 17:44:01.239000,4.87
12/01/2019 17:48:01.506000,4.52
12/01/2019 17:50:01.297000,4.05
12/01/2019 17:52:01.173000,5.03
12/01/2019 17:54:01.498000,4.26
12/01/2019 17:58:01.288000,5.32
12/01/2019 18:00:00.919000,3.93
12/01/2019 18:02:01.378000,4.69
12/01/2019 18:04:00.921000,4.73
12/01/2019 18:08:01.343000,4.36
12/01/2019 18:10:00.898000,4.51
12/01/2019 18:12:01.266000,4.09
12/01/2019 18:14:00.996000,4.79
12/01/2019 18:18:00.905000,4.32
12/01/2019 18:20:01.312000,4.33
12/01/2019 18:22:01.347000,5.21
12/01/2019 18:24:01.121000,4.32
12/01/2019 18:28:01.356000,4.69
12/01/2019 18:30:01.229000,4.81
12/01/2019 18:32:01.221000,5.59
12/01/2019 18:34:01.612000,5.0
12/01/2019 18:38:01.271000,4.51
12/01/2019 18:40:00.944000,4.67
12/01/2019 18:42:00.908000,5.46
12/01/2019 18:44:01.224000,5.52
12/01/2019 18:48:01.129000,5.67
12/01/2019 18:50:01.222000,5.33
12/01/2019 18:52:00.898000,5.1
12/01/2019 18:54:01.222000,5.13
12/01/2019 18:56:00.921000,5.04
12/01/2019 18:58:01.242000,5.63
12/01/2019 19:00:01.401000,5.93
12/01/2019 19:02:01.151000,5.96
12/01/2019 19:04:01.222000,6.47
12/01/2019 19:06:00.927000,5.21
12/01/2019 19:08:01.302000,5.19
12/01/2019 19:10:01.285000,5.57
12/01/2019 19:12:01.247000,5.89
12/01/2019 19:14:01.165000,5.51
12/01/2019 19:16:01.241000,5.81
12/01/2019 19:18:01.277000,5.46
12/01/2019 19:20:01.121000,5.89
12/01/2019 19:22:01.122000,5.6
12/01/2019 19:24:01.388000,5.43
12/01/2019 19:26:01.295000,5.42
12/01/2019 19:28:01.223000,5.22
12/01/2019 19:30:01.125000,5.76
12/01/2019 19:32:01.311000,5.22
12/01/2019 19:34:01.525000,4.62
12/01/2019 19:36:01.224000,5.04
12/01/2019 19:38:00.925000,4.79
12/01/2019 19:40:01.335000,4.91
12/01/2019 19:42:01.119000,5.01
12/01/2019 19:44:01.213000,5.23
12/01/2019 19:46:01.323000,5.1
12/01/2019 19:48:01.092000,5.42
12/01/2019 19:50:01.137000,6.02
12/01/2019 19:52:01.229000,5.5
12/01/2019 19:56:00.914000,5.83
12/01/2019 19:58:01.205000,5.42
12/01/2019 20:00:01.284000,5.21
12/01/2019 20:02:00.916000,6.58
12/01/2019 20:06:00.996000,5.74
12/01/2019 20:08:00.899000,5.68
12/01/2019 20:10:00.921000,6.39
12/01/2019 20:12:01.294000,6.13
12/01/2019 20:16:01.160000,5.89
12/01/2019 20:18:00.904000,5.2
12/01/2019 20:20:01.199000,5.63
12/01/2019 20:22:01.269000,5.65
12/01/2019 20:26:01.276000,5.78
12/01/2019 20:28:01.106000,5.94
12/01/2019 20:30:00.971000,5.83
12/01/2019 20:32:01.106000,5.82
12/01/2019 20:36:01.331000,6.04
12/01/2019 20:38:01.126000,6.22
12/01/2019 20:40:01.277000,5.78
12/01/2019 20:42:00.890000,5.87
12/01/2019 20:46:01.293000,6.12
12/01/2019 20:48:01.285000,6.31
12/01/2019 20:50:01.266000,7.01
12/01/2019 20:52:00.904000,6.28
12/01/2019 20:56:01.194000,5.96
12/01/2019 20:58:00.897000,6.46
12/01/2019 21:00:01.161000,6.03
12/01/2019 21:02:00.928000,6.28
12/01/2019 21:06:00.942000,6.99
12/01/2019 21:08:01.106000,7.1
12/01/2019 21:10:01.295000,7.45
12/01/2019 21:12:01.213000,6.71
12/01/2019 21:16:01.239000,7.06
12/01/2019 21:18:01.392000,7.16
12/01/2019 21:20:01.303000,6.39
12/01/2019 21:22:01.286000,6.76
12/01/2019 21:26:00.898000,6.59
12/01/2019 21:28:00.904000,7.67
12/01/2019 21:30:00.947000,7.34
12/01/2019 21:32:01.100000,7.37
12/01/2019 21:34:01.230000,7.26
12/01/2019 21:36:01.296000,8.44
12/01/2019 21:38:01.108000,7.6
12/01/2019 21:40:01.129000,7.06
12/01/2019 21:42:00.885000,7.74
12/01/2019 21:44:01.119000,7.57
12/01/2019 21:46:01.325000,8.48
12/01/2019 21:48:00.920000,9.66
12/01/2019 21:50:01.142000,8.7
12/01/2019 21:52:01.336000,7.63
12/01/2019 21:54:00.971000,8.1
12/01/2019 21:56:01.129000,9.22
12/01/2019 21:58:00.915000,9.0
12/01/2019 22:00:01.210000,7.93
12/01/2019 22:02:01.224000,9.09
12/01/2019 22:04:00.888000,9.74
12/01/2019 22:06:00.919000,9.62
12/01/2019 22:08:01.317000,8.7
12/01/2019 22:10:01.223000,10.97
12/01/2019 22:12:01.196000,9.6
12/01/2019 22:14:01.249000,8.62
12/01/2019 22:16:01.112000,9.49
12/01/2019 22:18:01.101000,9.9
12/01/2019 22:20:01.363000,10.16
12/01/2019 22:22:00.893000,9.19
12/01/2019 22:24:01.350000,9.53
12/01/2019 22:26:01.136000,9.04
12/01/2019 22:28:01.281000,9.39
12/01/2019 22:30:01.205000,8.81
12/01/2019 22:32:01.127000,9.78
12/01/2019 22:34:01.624000,9.92
12/01/2019 22:36:01.292000,9.03
12/01/2019 22:38:00.872000,9.87
12/01/2019 22:40:01.210000,9.57
12/01/2019 22:42:00.878000,9.21
12/01/2019 22:44:00.871000,9.17
12/01/2019 22:46:00.899000,9.93
12/01/2019 22:48:01.316000,9.31
12/01/2019 22:50:00.897000,9.03
12/01/2019 22:52:00.879000,9.06
12/01/2019 22:54:00.921000,10.45
12/01/2019 22:56:01.099000,9.82
12/01/2019 22:58:01.106000,10.2
12/01/2019 23:00:01.208000,10.03
12/01/2019 23:02:01.267000,10.3
12/01/2019 23:04:00.892000,9.78
12/01/2019 23:06:00.893000,9.91
12/01/2019 23:08:01.125000,9.6
